epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_precision,val_sensitivity,val_specificity
0,0.9804419875144958,0.2625976502895355,0.09831159561872482,0.0396585576236248,0.04648350551724434,0.10145846754312515,0.9786390662193298,0.9760067462921143,0.9942662119865417,0.9833427667617798,0.2680276036262512,0.1408703476190567,0.054902687668800354,0.05832598730921745,0.07783082872629166,0.9831416010856628,0.9831656217575073,0.994414746761322
1,0.9828734993934631,0.2676023840904236,0.11157362163066864,0.04266700893640518,0.0520593486726284,0.07727798074483871,0.9827480316162109,0.9827739596366882,0.9942693114280701,0.9833428859710693,0.2679397463798523,0.12099505960941315,0.04846619442105293,0.052639950066804886,0.07340140640735626,0.9831914901733398,0.983215868473053,0.994428277015686
2,0.9828736186027527,0.2675337493419647,0.10791093111038208,0.03993166238069534,0.04919162765145302,0.18042701482772827,0.9827622175216675,0.9827802777290344,0.9942755699157715,0.9247756600379944,0.2080312967300415,0.09628976881504059,0.05943748727440834,0.014084849506616592,0.4918571412563324,0.9420137405395508,0.8018301129341125,0.983389139175415
3,0.9824828505516052,0.2604943811893463,0.08965834975242615,0.03583225980401039,0.04060867801308632,0.2241065800189972,0.9824923276901245,0.9763026833534241,0.9942249655723572,0.9833427667617798,0.2632114589214325,0.07752913981676102,0.035397518426179886,0.03356453403830528,0.07373563200235367,0.9832853078842163,0.983309268951416,0.9944431185722351
4,0.9828730821609497,0.26646190881729126,0.10563161224126816,0.03862170875072479,0.04585016891360283,0.07636242359876633,0.9827563166618347,0.9827820062637329,0.9942757487297058,0.9833428263664246,0.2673611342906952,0.11082832515239716,0.0425872728228569,0.05583846941590309,0.07277405261993408,0.9832059741020203,0.9832298755645752,0.9944338202476501
5,0.9828736186027527,0.2679891884326935,0.10982644557952881,0.041180022060871124,0.050669554620981216,0.0741402730345726,0.9827590584754944,0.982784628868103,0.9942761063575745,0.9833428263664246,0.2693076431751251,0.12992973625659943,0.0459597148001194,0.04571070149540901,0.07101372629404068,0.9831962585449219,0.9832202792167664,0.9944283962249756
6,0.982873260974884,0.26988092064857483,0.11741766333580017,0.04425852745771408,0.05347387492656708,0.072442427277565,0.9827511310577393,0.9827771186828613,0.9942737221717834,0.9833427667617798,0.2721158266067505,0.14460141956806183,0.049485862255096436,0.060076650232076645,0.07032029330730438,0.9831689596176147,0.9831931591033936,0.9944189190864563
7,0.9828734993934631,0.27010253071784973,0.11908283084630966,0.04256202653050423,0.05467219650745392,0.0722912922501564,0.9827510714530945,0.9827767014503479,0.9942716956138611,0.9833428859710693,0.2727012038230896,0.15880434215068817,0.07327960431575775,0.06549420952796936,0.0741104856133461,0.9831000566482544,0.9831240773200989,0.9944038391113281
8,0.9828733801841736,0.272225558757782,0.12610995769500732,0.05005083605647087,0.0588228777050972,0.0711575448513031,0.982734203338623,0.9827597141265869,0.9942688941955566,0.9833427667617798,0.2727040946483612,0.13666601479053497,0.0459362156689167,0.04958309233188629,0.06771664321422577,0.9832034707069397,0.9832276105880737,0.9944255948066711
9,0.9828736186027527,0.276260644197464,0.14172624051570892,0.05321431905031204,0.06425349414348602,0.06851813197135925,0.9827175140380859,0.9827427268028259,0.9942579865455627,0.9833428859710693,0.27939045429229736,0.1502763330936432,0.06061001867055893,0.062335412949323654,0.06547906249761581,0.9831658601760864,0.9831896424293518,0.9944100379943848
