epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_precision,val_sensitivity,val_specificity
0,0.9320999383926392,0.15526548027992249,0.03589602932333946,0.012037143111228943,0.012347902171313763,0.0010000000474974513,1.129062533378601,0.8360032439231873,0.4086073637008667,0.871810793876648,0.9852943420410156,0.23854249715805054,0.022161152213811874,0.002489392878487706,0.010721017606556416,0.20235832035541534,0.9847634434700012,0.9518371820449829,0.99509596824646
1,0.9821128845214844,0.21911495923995972,0.0377827025949955,0.018938206136226654,0.019446467980742455,0.0010000000474974513,0.1558871865272522,0.8591712713241577,0.8530374765396118,0.8697763085365295,0.9866713881492615,0.26262959837913513,0.14853337407112122,0.10295753180980682,0.08375595510005951,0.09783465415239334,0.9863307476043701,0.9859952926635742,0.9954957365989685
2,0.9823606610298157,0.23355835676193237,0.1058114692568779,0.054747484624385834,0.03695268556475639,0.0010000000474974513,0.09647325426340103,0.8594009876251221,0.8593261241912842,0.869823157787323,0.9856864809989929,0.26705965399742126,0.19708046317100525,0.0730150043964386,0.0743604525923729,0.09505197405815125,0.9853283166885376,0.9852950572967529,0.9951450824737549
3,0.9822986721992493,0.23678644001483917,0.12509523332118988,0.04732619971036911,0.04721054434776306,0.0010000000474974513,0.09081439673900604,0.8593177199363708,0.8593327403068542,0.869795024394989,0.9862779378890991,0.26962727308273315,0.1472093164920807,0.07484149932861328,0.06870879977941513,0.07638780772686005,0.9860695600509644,0.9860937595367432,0.9953821897506714
4,0.9821330308914185,0.2355950027704239,0.09102723002433777,0.044931765645742416,0.04368719458580017,0.0010000000474974513,0.08433134853839874,0.8592531085014343,0.8592756986618042,0.869773805141449,0.9859248995780945,0.26881617307662964,0.1305927038192749,0.07409176230430603,0.06422685831785202,0.07172400504350662,0.985747754573822,0.9857724905014038,0.9952884912490845
5,0.9822664260864258,0.2358585149049759,0.08886918425559998,0.03871505334973335,0.03803710266947746,0.0010000000474974513,0.07886727899312973,0.8593893051147461,0.8594119548797607,0.8698177337646484,0.986240029335022,0.2674311399459839,0.10730230808258057,0.046685997396707535,0.04173703491687775,0.06572198122739792,0.9861325025558472,0.9861561059951782,0.995402455329895
6,0.9823001623153687,0.23591822385787964,0.09700420498847961,0.041136547923088074,0.03964865952730179,0.0010000000474974513,0.07950329035520554,0.8594015836715698,0.8594239354133606,0.8698232173919678,0.986387312412262,0.2689777612686157,0.14366061985492706,0.06156865134835243,0.05457964912056923,0.06804432719945908,0.9862204790115356,0.98624587059021,0.9954419136047363
7,0.9822805523872375,0.23764806985855103,0.10992053896188736,0.04506815969944,0.04260793328285217,0.0010000000474974513,0.07782725989818573,0.8593648672103882,0.8593873977661133,0.86981600522995,0.9857432842254639,0.26762449741363525,0.12042379379272461,0.046712104231119156,0.042592547833919525,0.06745082885026932,0.9856159687042236,0.9856408834457397,0.9952337741851807
8,0.9823983907699585,0.2364959716796875,0.1000499278306961,0.0361589640378952,0.035503193736076355,0.00020000000949949026,0.07589704543352127,0.8595016002655029,0.859523594379425,0.8698546886444092,0.9858596324920654,0.2666057348251343,0.10089444369077682,0.03562048822641373,0.03269140049815178,0.0661076009273529,0.9857896566390991,0.9858157634735107,0.9952777028083801
9,0.9824314713478088,0.23640911281108856,0.09438042342662811,0.035783424973487854,0.03439604490995407,0.00020000000949949026,0.07598845660686493,0.8595392107963562,0.859561562538147,0.8698652386665344,0.9858821034431458,0.26900652050971985,0.12898480892181396,0.05551345646381378,0.050771456211805344,0.06749524176120758,0.985734224319458,0.9857597351074219,0.995278000831604
