epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_precision,val_sensitivity,val_specificity
0,0.8668818473815918,0.21693463623523712,0.02932814322412014,0.01049712672829628,0.010157217271625996,0.0010000000474974513,0.5048900246620178,0.8506383895874023,0.7640284895896912,0.9942060112953186,0.9821622967720032,0.253577321767807,0.12046805024147034,0.04363328963518143,0.047235943377017975,0.1206834614276886,0.9819744229316711,0.9810571670532227,0.9940316677093506
1,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0,0.0,0.0,0.0,0.9813920855522156,0.25420939922332764,0.12597721815109253,0.0468427836894989,0.05388196185231209,0.12385351955890656,0.9811760187149048,0.9802445769309998,0.9937707185745239
2,0.9840491414070129,0.2623591125011444,0.08337489515542984,0.030629245564341545,0.03828393295407295,0.0010000000474974513,0.08431269973516464,0.983956515789032,0.9838404059410095,0.9946708679199219,0.9831682443618774,0.2727624177932739,0.1516464352607727,0.07444574683904648,0.08335711061954498,0.07914513349533081,0.9829392433166504,0.9829616546630859,0.9943558573722839
3,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0,0.0,0.0,0.0,0.982836902141571,0.2738105356693268,0.15070472657680511,0.08008527755737305,0.08787336200475693,0.08073051273822784,0.9826062917709351,0.9826309680938721,0.9942433834075928
4,0.9838761687278748,0.2724226117134094,0.12200506776571274,0.05377287417650223,0.06407774239778519,0.0010000000474974513,0.0728367492556572,0.9839324951171875,0.9832099676132202,0.9946661591529846,0.9825948476791382,0.26472026109695435,0.06358814239501953,0.021213877946138382,0.0207848958671093,0.08016552031040192,0.9825698137283325,0.9825936555862427,0.994194507598877
5,0.0,0.0,0.0,0.0,0.0,0.00020000000949949026,0.0,0.0,0.0,0.0,0.9824314117431641,0.262765109539032,0.05213583633303642,0.01906752586364746,0.01813538745045662,0.08205318450927734,0.9824128746986389,0.9824370741844177,0.9941409826278687
6,0.9839061498641968,0.27434641122817993,0.12202631682157516,0.04861541837453842,0.06048088148236275,0.00020000000949949026,0.06987278908491135,0.9838630557060242,0.983815610408783,0.9946399927139282,0.9826878905296326,0.28017979860305786,0.14899243414402008,0.07897283136844635,0.07180973887443542,0.07205681502819061,0.9828479886054993,0.9825317859649658,0.9943058490753174
7,0.0,0.0,0.0,0.0,0.0,0.00020000000949949026,0.0,0.0,0.0,0.0,0.98309725522995,0.279402494430542,0.14437168836593628,0.07978899776935577,0.06954506784677505,0.07127148658037186,0.9830429553985596,0.9829385876655579,0.9943740963935852
8,0.9837895631790161,0.2818020284175873,0.14990539848804474,0.06385719776153564,0.08252985030412674,0.00020000000949949026,0.0668138861656189,0.9839233160018921,0.9836196899414062,0.9946613907814026,0.9820636510848999,0.2749117910861969,0.09305471181869507,0.04308251664042473,0.04464946687221527,0.07412133365869522,0.9819951057434082,0.9820164442062378,0.9940109848976135
9,0.0,0.0,0.0,0.0,0.0,0.00020000000949949026,0.0,0.0,0.0,0.0,0.9831559658050537,0.2697238028049469,0.07272221148014069,0.030368806794285774,0.03297766298055649,0.07371480762958527,0.983121395111084,0.9831410646438599,0.994381308555603
