epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_precision,val_sensitivity,val_specificity
0,0.9788273572921753,0.27627384662628174,0.15513086318969727,0.05857453867793083,0.0736834704875946,0.10668057203292847,0.9805392622947693,0.9741247296333313,0.9948729276657104,0.9840511679649353,0.31670722365379333,0.2880983352661133,0.16860172152519226,0.22651401162147522,0.06168469414114952,0.9922095537185669,0.9732680320739746,0.9973001480102539
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9840512871742249,0.3167073130607605,0.2880983054637909,0.16860170662403107,0.22651399672031403,0.061684709042310715,0.9922095537185669,0.9732679128646851,0.9973001480102539
2,0.983068585395813,0.29750725626945496,0.22184179723262787,0.10040929168462753,0.12881673872470856,0.08130652457475662,0.9870858192443848,0.9790287017822266,0.9956628680229187,0.9850889444351196,0.29888543486595154,0.22481296956539154,0.12159375846385956,0.17614303529262543,0.06389766931533813,0.9888742566108704,0.9811729192733765,0.9962896108627319
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9850890636444092,0.29888543486595154,0.22481292486190796,0.12159372121095657,0.17614305019378662,0.06389766186475754,0.988874077796936,0.9811729192733765,0.9962895512580872
4,0.9836705923080444,0.3043566644191742,0.230683833360672,0.09452875703573227,0.14807385206222534,0.06376052647829056,0.9873603582382202,0.979411244392395,0.995766282081604,0.9859076738357544,0.3156428933143616,0.2648538649082184,0.15502502024173737,0.23048733174800873,0.055819034576416016,0.9902424216270447,0.9818445444107056,0.9966980218887329
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985907793045044,0.31564292311668396,0.264853835105896,0.15502500534057617,0.23048728704452515,0.05581903085112572,0.9902421832084656,0.9818446040153503,0.9966979026794434
6,0.9832636117935181,0.30990877747535706,0.23016642034053802,0.11476919054985046,0.17641644179821014,0.06271393597126007,0.9880560636520386,0.980452299118042,0.9959918260574341,0.9855037927627563,0.31214529275894165,0.19455856084823608,0.09194531291723251,0.1644122302532196,0.055461738258600235,0.9875980019569397,0.9843857288360596,0.9958429932594299
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9855036735534668,0.31214526295661926,0.1945585310459137,0.09194532036781311,0.16441220045089722,0.055461734533309937,0.9875984191894531,0.9843858480453491,0.9958434104919434
8,0.9839882254600525,0.31549397110939026,0.25400254130363464,0.12311331182718277,0.179873988032341,0.06023985520005226,0.9880536794662476,0.980197548866272,0.9959909319877625,0.9823910593986511,0.33229708671569824,0.338809609413147,0.1722348928451538,0.26126253604888916,0.05783760920166969,0.9899702072143555,0.9759939908981323,0.9966001510620117
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9823908805847168,0.3322971761226654,0.33880966901779175,0.1722348928451538,0.26126253604888916,0.05783761665225029,0.989970326423645,0.9759941101074219,0.9966002702713013
10,0.9838462471961975,0.32409733533859253,0.26122647523880005,0.13867516815662384,0.2077670395374298,0.05654865875840187,0.9883103370666504,0.9808204770088196,0.9960657954216003,0.9854539632797241,0.3286992013454437,0.3296443819999695,0.13702905178070068,0.1128809005022049,0.05073145776987076,0.9871500134468079,0.9843023419380188,0.9957118630409241
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9854540228843689,0.32869914174079895,0.3296443223953247,0.13702905178070068,0.11288092285394669,0.05073145031929016,0.987150251865387,0.9843024015426636,0.9957119822502136
12,0.9846249222755432,0.3300352990627289,0.2695356011390686,0.15282410383224487,0.21591809391975403,0.05503110960125923,0.9884973764419556,0.9813088178634644,0.9961196184158325,0.9853963255882263,0.3184254765510559,0.17466597259044647,0.11032473295927048,0.1493874341249466,0.0557255819439888,0.9872592091560364,0.984689474105835,0.9957313537597656
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9853965640068054,0.31842541694641113,0.17466597259044647,0.11032471805810928,0.14938737452030182,0.0557255819439888,0.9872592091560364,0.984689474105835,0.9957313537597656
